match_id,team_name,opponent,team_type,team_score,opponent_score,goal_difference,win,draw,loss,total_windows,momentum_wins,change_wins,relative_wins,momentum_superiority,change_superiority,relative_superiority,momentum_superiority_vs_team_score_correlation,momentum_superiority_vs_team_score_p_value,momentum_superiority_vs_goal_difference_correlation,momentum_superiority_vs_goal_difference_p_value,momentum_superiority_vs_win_correlation,momentum_superiority_vs_win_p_value,change_superiority_vs_team_score_correlation,change_superiority_vs_team_score_p_value,change_superiority_vs_goal_difference_correlation,change_superiority_vs_goal_difference_p_value,change_superiority_vs_win_correlation,change_superiority_vs_win_p_value,relative_superiority_vs_team_score_correlation,relative_superiority_vs_team_score_p_value,relative_superiority_vs_goal_difference_correlation,relative_superiority_vs_goal_difference_p_value,relative_superiority_vs_win_correlation,relative_superiority_vs_win_p_value
3930158,Germany,Scotland,home,5,1,4,1,0,0,89,82,44,44,0.9213483146067416,0.4943820224719101,0.4943820224719101,0.3044554135608254,0.0018635249227033847,0.4106611398966107,1.8105649884237296e-05,0.36158985881990563,0.00018843152767570212,-0.0764124614517991,0.4452643437438261,-0.10306805898142624,0.30260850253854793,-0.09922579334923075,0.3210844399740263,-0.1102732189817578,0.26987612631888086,-0.14874074754486188,0.13569738345289892,-0.10377429356705392,0.29928983961588634
3930158,Scotland,Germany,away,1,5,-4,0,0,1,89,7,45,45,0.07865168539325842,0.5056179775280899,0.5056179775280899,0.3044554135608254,0.0018635249227033847,0.4106611398966107,1.8105649884237296e-05,0.36158985881990563,0.00018843152767570212,-0.0764124614517991,0.4452643437438261,-0.10306805898142624,0.30260850253854793,-0.09922579334923075,0.3210844399740263,-0.1102732189817578,0.26987612631888086,-0.14874074754486188,0.13569738345289892,-0.10377429356705392,0.29928983961588634
3930159,Hungary,Switzerland,home,1,3,-2,0,0,1,93,36,47,48,0.3870967741935484,0.5053763440860215,0.5161290322580645,0.3044554135608254,0.0018635249227033847,0.4106611398966107,1.8105649884237296e-05,0.36158985881990563,0.00018843152767570212,-0.0764124614517991,0.4452643437438261,-0.10306805898142624,0.30260850253854793,-0.09922579334923075,0.3210844399740263,-0.1102732189817578,0.26987612631888086,-0.14874074754486188,0.13569738345289892,-0.10377429356705392,0.29928983961588634
3930159,Switzerland,Hungary,away,3,1,2,1,0,0,93,57,46,45,0.6129032258064516,0.4946236559139785,0.4838709677419355,0.3044554135608254,0.0018635249227033847,0.4106611398966107,1.8105649884237296e-05,0.36158985881990563,0.00018843152767570212,-0.0764124614517991,0.4452643437438261,-0.10306805898142624,0.30260850253854793,-0.09922579334923075,0.3210844399740263,-0.1102732189817578,0.26987612631888086,-0.14874074754486188,0.13569738345289892,-0.10377429356705392,0.29928983961588634
3930160,Spain,Croatia,home,3,0,3,1,0,0,91,42,43,43,0.46153846153846156,0.4725274725274725,0.4725274725274725,0.3044554135608254,0.0018635249227033847,0.4106611398966107,1.8105649884237296e-05,0.36158985881990563,0.00018843152767570212,-0.0764124614517991,0.4452643437438261,-0.10306805898142624,0.30260850253854793,-0.09922579334923075,0.3210844399740263,-0.1102732189817578,0.26987612631888086,-0.14874074754486188,0.13569738345289892,-0.10377429356705392,0.29928983961588634
3930160,Croatia,Spain,away,0,3,-3,0,0,1,91,49,48,48,0.5384615384615384,0.5274725274725275,0.5274725274725275,0.3044554135608254,0.0018635249227033847,0.4106611398966107,1.8105649884237296e-05,0.36158985881990563,0.00018843152767570212,-0.0764124614517991,0.4452643437438261,-0.10306805898142624,0.30260850253854793,-0.09922579334923075,0.3210844399740263,-0.1102732189817578,0.26987612631888086,-0.14874074754486188,0.13569738345289892,-0.10377429356705392,0.29928983961588634
3930161,Italy,Albania,home,2,1,1,1,0,0,91,73,41,42,0.8021978021978022,0.45054945054945056,0.46153846153846156,0.3044554135608254,0.0018635249227033847,0.4106611398966107,1.8105649884237296e-05,0.36158985881990563,0.00018843152767570212,-0.0764124614517991,0.4452643437438261,-0.10306805898142624,0.30260850253854793,-0.09922579334923075,0.3210844399740263,-0.1102732189817578,0.26987612631888086,-0.14874074754486188,0.13569738345289892,-0.10377429356705392,0.29928983961588634
3930161,Albania,Italy,away,1,2,-1,0,0,1,91,18,50,49,0.1978021978021978,0.5494505494505495,0.5384615384615384,0.3044554135608254,0.0018635249227033847,0.4106611398966107,1.8105649884237296e-05,0.36158985881990563,0.00018843152767570212,-0.0764124614517991,0.4452643437438261,-0.10306805898142624,0.30260850253854793,-0.09922579334923075,0.3210844399740263,-0.1102732189817578,0.26987612631888086,-0.14874074754486188,0.13569738345289892,-0.10377429356705392,0.29928983961588634
3930162,Slovenia,Denmark,home,1,1,0,0,1,0,90,25,45,45,0.2777777777777778,0.5,0.5,0.3044554135608254,0.0018635249227033847,0.4106611398966107,1.8105649884237296e-05,0.36158985881990563,0.00018843152767570212,-0.0764124614517991,0.4452643437438261,-0.10306805898142624,0.30260850253854793,-0.09922579334923075,0.3210844399740263,-0.1102732189817578,0.26987612631888086,-0.14874074754486188,0.13569738345289892,-0.10377429356705392,0.29928983961588634
3930162,Denmark,Slovenia,away,1,1,0,0,1,0,90,65,45,45,0.7222222222222222,0.5,0.5,0.3044554135608254,0.0018635249227033847,0.4106611398966107,1.8105649884237296e-05,0.36158985881990563,0.00018843152767570212,-0.0764124614517991,0.4452643437438261,-0.10306805898142624,0.30260850253854793,-0.09922579334923075,0.3210844399740263,-0.1102732189817578,0.26987612631888086,-0.14874074754486188,0.13569738345289892,-0.10377429356705392,0.29928983961588634
