match_id,team_x,team_y,team_x_score,team_y_score,score_difference,team_x_won,total_windows,team_x_momentum_wins,team_x_change_wins,team_x_relative_wins,team_x_momentum_rate,team_x_change_rate,team_x_relative_rate,perspective
3930180,Netherlands,Austria,2,3,-1,0,93,48,49,48,0.5161290322580645,0.5268817204301075,0.5161290322580645,team_x_home
3930180,Austria,Netherlands,3,2,1,1,93,45,44,45,0.4838709677419355,0.4731182795698925,0.4838709677419355,team_x_away
3930181,Slovenia,England,0,0,0,0,90,17,41,42,0.18888888888888888,0.45555555555555555,0.4666666666666667,team_x_home
3930181,England,Slovenia,0,0,0,0,90,73,49,48,0.8111111111111111,0.5444444444444444,0.5333333333333333,team_x_away
3930182,Denmark,Serbia,0,0,0,0,91,61,48,47,0.6703296703296703,0.5274725274725275,0.5164835164835165,team_x_home
3930182,Serbia,Denmark,0,0,0,0,91,30,43,44,0.32967032967032966,0.4725274725274725,0.4835164835164835,team_x_away
3930183,Slovakia,Romania,1,1,0,0,90,53,53,52,0.5888888888888889,0.5888888888888889,0.5777777777777777,team_x_home
3930183,Romania,Slovakia,1,1,0,0,90,37,37,38,0.4111111111111111,0.4111111111111111,0.4222222222222222,team_x_away
3930184,Czech Republic,Turkey,1,2,-1,0,93,30,47,47,0.3225806451612903,0.5053763440860215,0.5053763440860215,team_x_home
3930184,Turkey,Czech Republic,2,1,1,1,93,63,46,46,0.6774193548387096,0.4946236559139785,0.4946236559139785,team_x_away
3938637,Netherlands,Poland,1,2,-1,0,91,65,42,41,0.7142857142857143,0.46153846153846156,0.45054945054945056,team_x_home
3938637,Poland,Netherlands,2,1,1,1,91,26,49,50,0.2857142857142857,0.5384615384615384,0.5494505494505495,team_x_away
3938638,Ukraine,Romania,3,0,3,1,90,67,50,50,0.7444444444444445,0.5555555555555556,0.5555555555555556,team_x_home
3938638,Romania,Ukraine,0,3,-3,0,90,23,40,40,0.25555555555555554,0.4444444444444444,0.4444444444444444,team_x_away
3938639,Georgia,Turkey,3,1,2,1,93,35,43,44,0.3763440860215054,0.46236559139784944,0.4731182795698925,team_x_home
3938639,Turkey,Georgia,1,3,-2,0,93,58,50,49,0.6236559139784946,0.5376344086021505,0.5268817204301075,team_x_away
3938640,Slovakia,Ukraine,1,2,-1,0,91,44,41,41,0.4835164835164835,0.45054945054945056,0.45054945054945056,team_x_home
3938640,Ukraine,Slovakia,2,1,1,1,91,47,50,50,0.5164835164835165,0.5494505494505495,0.5494505494505495,team_x_away
3938641,Austria,Poland,1,3,-2,0,90,58,43,44,0.6444444444444445,0.4777777777777778,0.4888888888888889,team_x_home
3938641,Poland,Austria,3,1,2,1,90,32,47,46,0.35555555555555557,0.5222222222222223,0.5111111111111111,team_x_away
3938642,Czech Republic,Georgia,1,1,0,0,91,69,43,44,0.7582417582417582,0.4725274725274725,0.4835164835164835,team_x_home
3938642,Georgia,Czech Republic,1,1,0,0,91,22,48,47,0.24175824175824176,0.5274725274725275,0.5164835164835165,team_x_away
3938643,Poland,France,1,1,0,0,91,21,43,42,0.23076923076923078,0.4725274725274725,0.46153846153846156,team_x_home
3938643,France,Poland,1,1,0,0,91,70,48,49,0.7692307692307693,0.5274725274725275,0.5384615384615384,team_x_away
3938644,Portugal,Georgia,2,0,2,1,90,82,41,42,0.9111111111111111,0.45555555555555555,0.4666666666666667,team_x_home
3938644,Georgia,Portugal,0,2,-2,0,90,8,49,48,0.08888888888888889,0.5444444444444444,0.5333333333333333,team_x_away
