match_id,team_name,opponent,team_type,team_score,opponent_score,goal_difference,win,draw,loss,total_windows,momentum_wins,change_wins,relative_wins,momentum_superiority,change_superiority,relative_superiority,momentum_superiority_vs_team_score_correlation,momentum_superiority_vs_team_score_p_value,momentum_superiority_vs_goal_difference_correlation,momentum_superiority_vs_goal_difference_p_value,momentum_superiority_vs_win_correlation,momentum_superiority_vs_win_p_value,change_superiority_vs_team_score_correlation,change_superiority_vs_team_score_p_value,change_superiority_vs_goal_difference_correlation,change_superiority_vs_goal_difference_p_value,change_superiority_vs_win_correlation,change_superiority_vs_win_p_value,relative_superiority_vs_team_score_correlation,relative_superiority_vs_team_score_p_value,relative_superiority_vs_goal_difference_correlation,relative_superiority_vs_goal_difference_p_value,relative_superiority_vs_win_correlation,relative_superiority_vs_win_p_value
3930158,Germany,Scotland,home,5,1,4,1,0,0,89,82,44,44,0.9213483146067416,0.4943820224719101,0.4943820224719101,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930158,Scotland,Germany,away,1,5,-4,0,0,1,89,7,45,45,0.07865168539325842,0.5056179775280899,0.5056179775280899,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930159,Switzerland,Hungary,home,1,3,-2,0,0,1,93,57,46,45,0.6129032258064516,0.4946236559139785,0.4838709677419355,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930159,Hungary,Switzerland,away,3,1,2,1,0,0,93,36,47,48,0.3870967741935484,0.5053763440860215,0.5161290322580645,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930160,Spain,Croatia,home,3,0,3,1,0,0,91,42,43,43,0.46153846153846156,0.4725274725274725,0.4725274725274725,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930160,Croatia,Spain,away,0,3,-3,0,0,1,91,49,48,48,0.5384615384615384,0.5274725274725275,0.5274725274725275,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930161,Italy,Albania,home,2,1,1,1,0,0,91,73,41,42,0.8021978021978022,0.45054945054945056,0.46153846153846156,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930161,Albania,Italy,away,1,2,-1,0,0,1,91,18,50,49,0.1978021978021978,0.5494505494505495,0.5384615384615384,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930162,Slovenia,Denmark,home,1,1,0,0,1,0,90,25,45,45,0.2777777777777778,0.5,0.5,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
3930162,Denmark,Slovenia,away,1,1,0,0,1,0,90,65,45,45,0.7222222222222222,0.5,0.5,0.052118529374574424,0.6028978132087027,0.07029947154617351,0.4826112572372605,0.06287131689367854,0.5301579172118817,-0.07348478230239922,0.46294487670433704,-0.09911909304686624,0.3216076634744421,-0.08971141459164017,0.36988749359555434,-0.00773957511079837,0.9384615271052718,-0.010439435778601801,0.9170609922460805,-0.013772680253034283,0.8907229757058501
