event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,spain_score,england_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure,event_commentary,sequence_id,sequence_commentary,sequence_length
9449,3942752,2,73,41,00:28:41.720,Pass,Fabián Ruiz Peña,Spain,Spain,78.8,17.8,,0.769294,Regular Play,Daniel Olmo Carvajal,10.855874,Ground Pass,,1.028797,84.4,27.1,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,2,1,1,5,0,0,11,2,2,0,Carry,Fabián Ruiz Peña,Spain,73.0,38.0,Ball Receipt*,Daniel Olmo Carvajal,Spain,True,41.2,False,False,False,"Fabián Ruiz Peña under pressure, plays a short pass along the ground to Daniel Olmo Carvajal into the central attacking third",296,"[73:36] Marc Cucurella Saseta receives under pressure in the right attacking third under pressure, carries the ball under pressure, plays a medium pass back along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball",10
9450,3942752,2,73,42,00:28:42.490,Ball Receipt*,Daniel Olmo Carvajal,Spain,Spain,84.4,27.1,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,2,1,1,5,0,0,11,2,2,1,Pass,Fabián Ruiz Peña,Spain,73.0,41.0,Carry,Daniel Olmo Carvajal,Spain,True,35.599999999999994,False,False,False,Daniel Olmo Carvajal receives under pressure in the central attacking third,296,"[73:36] Marc Cucurella Saseta receives under pressure in the right attacking third under pressure, carries the ball under pressure, plays a medium pass back along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball",10
9451,3942752,2,73,42,00:28:42.490,Carry,Daniel Olmo Carvajal,Spain,Spain,84.4,27.1,,1.176482,Regular Play,,,,,,,,,,,,False,79.8,27.8,4.652956049652745,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,2,1,1,5,0,0,11,2,2,1,Ball Receipt*,Daniel Olmo Carvajal,Spain,73.0,42.0,Pass,Daniel Olmo Carvajal,Spain,True,35.599999999999994,False,False,False,"Daniel Olmo Carvajal under pressure, carries the ball from the central attacking third into the central midfield",296,"[73:36] Marc Cucurella Saseta receives under pressure in the right attacking third under pressure, carries the ball under pressure, plays a medium pass back along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball",10
9452,3942752,2,73,43,00:28:43.666,Pass,Daniel Olmo Carvajal,Spain,Spain,79.8,27.8,,1.404292,Regular Play,Aymeric Laporte,16.05802,Ground Pass,,-2.697441,65.3,20.9,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,2,1,1,5,0,0,11,2,2,1,Carry,Daniel Olmo Carvajal,Spain,73.0,42.0,Ball Receipt*,Aymeric Laporte,Spain,True,40.2,False,False,False,"Daniel Olmo Carvajal under pressure, plays a medium pass back along the ground to Aymeric Laporte",296,"[73:36] Marc Cucurella Saseta receives under pressure in the right attacking third under pressure, carries the ball under pressure, plays a medium pass back along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball",10
9453,3942752,2,73,45,00:28:45.070,Ball Receipt*,Aymeric Laporte,Spain,Spain,65.3,20.9,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,2,1,1,5,0,0,11,2,0,0,Pass,Daniel Olmo Carvajal,Spain,73.0,43.0,Carry,Aymeric Laporte,Spain,True,54.7,False,False,False,Aymeric Laporte receives,296,"[73:36] Marc Cucurella Saseta receives under pressure in the right attacking third under pressure, carries the ball under pressure, plays a medium pass back along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball",10
9454,3942752,2,73,45,00:28:45.070,Carry,Aymeric Laporte,Spain,Spain,65.3,20.9,,2.552043,Regular Play,,,,,,,,,,,,False,66.7,20.1,1.6124515496597134,,False,,"{'id': 5, 'name': 'Left Center Back'}",,2,1,1,5,0,0,11,2,0,0,Ball Receipt*,Aymeric Laporte,Spain,73.0,45.0,Pass,Aymeric Laporte,Spain,True,54.7,False,False,False,"Aymeric Laporte under pressure, carries the ball",297,"[73:45] Aymeric Laporte under pressure, carries the ball under pressure, plays a short pass along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball under pressure, plays a short pass along the ground to Rodrigo Hernández Cascante",10
9455,3942752,2,73,47,00:28:47.623,Pass,Aymeric Laporte,Spain,Spain,66.7,20.1,,0.831646,Regular Play,Fabián Ruiz Peña,9.560335,Ground Pass,,-0.9189272,72.5,12.5,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,2,1,1,5,0,0,11,2,0,0,Carry,Aymeric Laporte,Spain,73.0,45.0,Ball Receipt*,Fabián Ruiz Peña,Spain,True,53.3,False,False,False,"Aymeric Laporte under pressure, plays a short pass along the ground to Fabián Ruiz Peña",297,"[73:45] Aymeric Laporte under pressure, carries the ball under pressure, plays a short pass along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball under pressure, plays a short pass along the ground to Rodrigo Hernández Cascante",10
9456,3942752,2,73,48,00:28:48.454,Ball Receipt*,Fabián Ruiz Peña,Spain,Spain,72.5,12.5,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,2,1,1,5,0,0,11,2,2,0,Pass,Aymeric Laporte,Spain,73.0,47.0,Carry,Fabián Ruiz Peña,Spain,True,47.5,False,False,False,Fabián Ruiz Peña receives,297,"[73:45] Aymeric Laporte under pressure, carries the ball under pressure, plays a short pass along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball under pressure, plays a short pass along the ground to Rodrigo Hernández Cascante",10
9457,3942752,2,73,48,00:28:48.454,Carry,Fabián Ruiz Peña,Spain,Spain,72.5,12.5,,0.477007,Regular Play,,,,,,,,,,,,False,72.5,12.6,0.0999999999999996,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,2,1,1,5,0,0,11,2,2,0,Ball Receipt*,Fabián Ruiz Peña,Spain,73.0,48.0,Pass,Fabián Ruiz Peña,Spain,True,47.5,False,False,False,"Fabián Ruiz Peña under pressure, carries the ball",297,"[73:45] Aymeric Laporte under pressure, carries the ball under pressure, plays a short pass along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball under pressure, plays a short pass along the ground to Rodrigo Hernández Cascante",10
9458,3942752,2,73,48,00:28:48.931,Pass,Fabián Ruiz Peña,Spain,Spain,72.5,12.6,,0.819507,Regular Play,Rodrigo Hernández Cascante,10.117806,Ground Pass,,1.5114601,73.1,22.7,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,2,1,1,5,0,0,11,2,2,0,Carry,Fabián Ruiz Peña,Spain,73.0,48.0,Ball Receipt*,Rodrigo Hernández Cascante,Spain,True,47.5,False,False,False,"Fabián Ruiz Peña under pressure, plays a short pass along the ground to Rodrigo Hernández Cascante",297,"[73:45] Aymeric Laporte under pressure, carries the ball under pressure, plays a short pass along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball under pressure, plays a short pass along the ground to Rodrigo Hernández Cascante",10
9459,3942752,2,73,49,00:28:49.751,Ball Receipt*,Rodrigo Hernández Cascante,Spain,Spain,73.1,22.7,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,2,1,1,5,0,0,11,2,1,0,Pass,Fabián Ruiz Peña,Spain,73.0,48.0,Carry,Rodrigo Hernández Cascante,Spain,True,46.900000000000006,False,False,False,Rodrigo Hernández Cascante receives,297,"[73:45] Aymeric Laporte under pressure, carries the ball under pressure, plays a short pass along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball under pressure, plays a short pass along the ground to Rodrigo Hernández Cascante",10
9460,3942752,2,73,49,00:28:49.751,Carry,Rodrigo Hernández Cascante,Spain,Spain,73.1,22.7,,0.889498,Regular Play,,,,,,,,,,,,False,75.8,24.5,3.244996147917593,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,2,1,1,5,0,0,11,2,1,0,Ball Receipt*,Rodrigo Hernández Cascante,Spain,73.0,49.0,Pass,Rodrigo Hernández Cascante,Spain,True,46.900000000000006,False,False,False,"Rodrigo Hernández Cascante under pressure, carries the ball",297,"[73:45] Aymeric Laporte under pressure, carries the ball under pressure, plays a short pass along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball under pressure, plays a short pass along the ground to Rodrigo Hernández Cascante",10
9461,3942752,2,73,50,00:28:50.640,Pass,Rodrigo Hernández Cascante,Spain,Spain,75.8,24.5,,1.071067,Regular Play,Daniel Olmo Carvajal,14.634207,Ground Pass,,1.5024099,76.8,39.1,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,2,1,1,5,0,0,11,2,1,0,Carry,Rodrigo Hernández Cascante,Spain,73.0,49.0,Ball Receipt*,Daniel Olmo Carvajal,Spain,True,44.2,False,False,False,"Rodrigo Hernández Cascante under pressure, plays a short pass along the ground to Daniel Olmo Carvajal",297,"[73:45] Aymeric Laporte under pressure, carries the ball under pressure, plays a short pass along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball under pressure, plays a short pass along the ground to Rodrigo Hernández Cascante",10
9462,3942752,2,73,51,00:28:51.711,Ball Receipt*,Daniel Olmo Carvajal,Spain,Spain,76.8,39.1,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,2,1,1,5,0,0,11,2,2,1,Pass,Rodrigo Hernández Cascante,Spain,73.0,50.0,Carry,Daniel Olmo Carvajal,Spain,True,43.2,False,False,False,Daniel Olmo Carvajal receives,297,"[73:45] Aymeric Laporte under pressure, carries the ball under pressure, plays a short pass along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball under pressure, plays a short pass along the ground to Rodrigo Hernández Cascante",10
9463,3942752,2,73,51,00:28:51.711,Carry,Daniel Olmo Carvajal,Spain,Spain,76.8,39.1,,0.717928,Regular Play,,,,,,,,,,,,False,73.6,39.5,3.2249030993194223,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,2,1,1,5,0,0,11,2,2,1,Ball Receipt*,Daniel Olmo Carvajal,Spain,73.0,51.0,Pass,Daniel Olmo Carvajal,Spain,True,43.2,False,False,False,"Daniel Olmo Carvajal under pressure, carries the ball",297,"[73:45] Aymeric Laporte under pressure, carries the ball under pressure, plays a short pass along the ground to Fabián Ruiz Peña Fabián Ruiz Peña receives under pressure, carries the ball under pressure, plays a short pass along the ground to Rodrigo Hernández Cascante",10
9464,3942752,2,73,52,00:28:52.429,Pass,Daniel Olmo Carvajal,Spain,Spain,73.6,39.5,,1.09483,Regular Play,José Ignacio Fernández Iglesias,20.144478,Ground Pass,,2.078859,63.8,57.1,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,2,1,1,5,0,0,11,2,2,1,Carry,Daniel Olmo Carvajal,Spain,73.0,51.0,Ball Receipt*,José Ignacio Fernández Iglesias,Spain,True,46.400000000000006,False,False,False,"Daniel Olmo Carvajal under pressure, plays a medium pass along the ground to José Ignacio Fernández Iglesias",298,"[73:52] Daniel Olmo Carvajal under pressure, plays a medium pass along the ground to José Ignacio Fernández Iglesias José Ignacio Fernández Iglesias receives under pressure, carries the ball under pressure, plays a short pass along the ground to Daniel Olmo Carvajal Daniel Olmo Carvajal receives",10
9465,3942752,2,73,53,00:28:53.524,Ball Receipt*,José Ignacio Fernández Iglesias,Spain,Spain,63.8,57.1,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,2,1,1,5,0,0,11,2,0,0,Pass,Daniel Olmo Carvajal,Spain,73.0,52.0,Carry,José Ignacio Fernández Iglesias,Spain,True,56.2,False,False,False,José Ignacio Fernández Iglesias receives,298,"[73:52] Daniel Olmo Carvajal under pressure, plays a medium pass along the ground to José Ignacio Fernández Iglesias José Ignacio Fernández Iglesias receives under pressure, carries the ball under pressure, plays a short pass along the ground to Daniel Olmo Carvajal Daniel Olmo Carvajal receives",10
9466,3942752,2,73,53,00:28:53.524,Carry,José Ignacio Fernández Iglesias,Spain,Spain,63.8,57.1,,3.21372,Regular Play,,,,,,,,,,,,False,65.8,57.5,2.0396078054371136,,False,,"{'id': 2, 'name': 'Right Back'}",,2,1,1,5,0,0,11,2,0,0,Ball Receipt*,José Ignacio Fernández Iglesias,Spain,73.0,53.0,Pass,José Ignacio Fernández Iglesias,Spain,True,56.2,False,False,False,"José Ignacio Fernández Iglesias under pressure, carries the ball",298,"[73:52] Daniel Olmo Carvajal under pressure, plays a medium pass along the ground to José Ignacio Fernández Iglesias José Ignacio Fernández Iglesias receives under pressure, carries the ball under pressure, plays a short pass along the ground to Daniel Olmo Carvajal Daniel Olmo Carvajal receives",10
9467,3942752,2,73,56,00:28:56.738,Pass,José Ignacio Fernández Iglesias,Spain,Spain,65.8,57.5,,1.216487,Regular Play,Daniel Olmo Carvajal,9.513149,Ground Pass,,-0.9798783,71.1,49.6,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,2,1,1,5,0,0,11,2,0,0,Carry,José Ignacio Fernández Iglesias,Spain,73.0,53.0,Ball Receipt*,Daniel Olmo Carvajal,Spain,True,54.2,False,False,False,"José Ignacio Fernández Iglesias under pressure, plays a short pass along the ground to Daniel Olmo Carvajal",298,"[73:52] Daniel Olmo Carvajal under pressure, plays a medium pass along the ground to José Ignacio Fernández Iglesias José Ignacio Fernández Iglesias receives under pressure, carries the ball under pressure, plays a short pass along the ground to Daniel Olmo Carvajal Daniel Olmo Carvajal receives",10
9468,3942752,2,73,57,00:28:57.954,Ball Receipt*,Daniel Olmo Carvajal,Spain,Spain,71.1,49.6,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,2,1,1,5,0,0,11,2,2,1,Pass,José Ignacio Fernández Iglesias,Spain,73.0,56.0,Carry,Daniel Olmo Carvajal,Spain,True,48.900000000000006,False,False,False,Daniel Olmo Carvajal receives,298,"[73:52] Daniel Olmo Carvajal under pressure, plays a medium pass along the ground to José Ignacio Fernández Iglesias José Ignacio Fernández Iglesias receives under pressure, carries the ball under pressure, plays a short pass along the ground to Daniel Olmo Carvajal Daniel Olmo Carvajal receives",10
9469,3942752,2,73,57,00:28:57.954,Carry,Daniel Olmo Carvajal,Spain,Spain,71.1,49.6,,0.732033,Regular Play,,,,,,,,,,,,False,71.3,49.6,0.2000000000000028,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,2,1,1,5,0,0,11,2,2,1,Ball Receipt*,Daniel Olmo Carvajal,Spain,73.0,57.0,Pass,Daniel Olmo Carvajal,Spain,True,48.900000000000006,False,False,False,"Daniel Olmo Carvajal under pressure, carries the ball",298,"[73:52] Daniel Olmo Carvajal under pressure, plays a medium pass along the ground to José Ignacio Fernández Iglesias José Ignacio Fernández Iglesias receives under pressure, carries the ball under pressure, plays a short pass along the ground to Daniel Olmo Carvajal Daniel Olmo Carvajal receives",10
