event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,England_score,Switzerland_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
25824,3942227,1,0,33,00:00:33.179,Carry,John Stones,England,England,27.7,60.5,,0.799824,Regular Play,,,,,,,,,,,,False,22.2,61.7,5.629387178015029,,False,,"{'id': 4, 'name': 'Center Back'}",,0,0,0,2,2,0,4,2,0,0,Ball Recovery,John Stones,England,0.0,33.0,Pass,John Stones,England,True,92.3,False,False,False
25825,3942227,1,0,33,00:00:33.979,Pass,John Stones,England,England,22.2,61.7,,2.319263,Regular Play,Jordan Pickford,25.444252,Ground Pass,,-1.8291203,15.7,37.1,,,,,False,,,,,False,,"{'id': 4, 'name': 'Center Back'}",,0,0,0,2,2,0,4,2,0,0,Carry,John Stones,England,0.0,33.0,Ball Receipt*,Jordan Pickford,England,True,97.8,False,False,False
25826,3942227,1,0,36,00:00:36.298,Ball Receipt*,Jordan Pickford,England,England,15.7,37.1,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,2,0,4,2,0,0,Pass,John Stones,England,0.0,33.0,Carry,Jordan Pickford,England,True,104.3,False,False,False
25827,3942227,1,0,36,00:00:36.298,Carry,Jordan Pickford,England,England,15.7,37.1,,1.415153,Regular Play,,,,,,,,,,,,False,18.3,34.8,3.4713109915419604,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,2,0,4,2,0,0,Ball Receipt*,Jordan Pickford,England,0.0,36.0,Pass,Jordan Pickford,England,True,104.3,False,False,False
25828,3942227,1,0,37,00:00:37.713,Pass,Jordan Pickford,England,England,18.3,34.8,,2.214014,Regular Play,Ezri Konsa Ngoyo,32.41373,Ground Pass,,-1.2441678,28.7,4.1,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,2,0,4,2,0,0,Carry,Jordan Pickford,England,0.0,36.0,Ball Receipt*,Ezri Konsa Ngoyo,England,True,101.7,False,False,False
25829,3942227,1,0,39,00:00:39.927,Ball Receipt*,Ezri Konsa Ngoyo,England,England,28.7,4.1,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,2,2,0,4,2,0,0,Pass,Jordan Pickford,England,0.0,37.0,Carry,Ezri Konsa Ngoyo,England,True,91.3,False,False,False
25830,3942227,1,0,39,00:00:39.927,Carry,Ezri Konsa Ngoyo,England,England,28.7,4.1,,3.398967,Regular Play,,,,,,,,,,,,False,31.1,10.4,6.741661516273271,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,2,2,0,4,2,0,0,Ball Receipt*,Ezri Konsa Ngoyo,England,0.0,39.0,Pass,Ezri Konsa Ngoyo,England,True,91.3,False,False,False
25831,3942227,1,0,43,00:00:43.326,Pass,Ezri Konsa Ngoyo,England,England,31.1,10.4,,2.296683,Regular Play,Jordan Pickford,27.673994,Ground Pass,,2.3127437,12.4,30.8,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,2,2,0,4,2,0,0,Carry,Ezri Konsa Ngoyo,England,0.0,39.0,Ball Receipt*,Jordan Pickford,England,True,88.9,False,False,False
25832,3942227,1,0,45,00:00:45.623,Ball Receipt*,Jordan Pickford,England,England,12.4,30.8,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,2,0,4,2,0,0,Pass,Ezri Konsa Ngoyo,England,0.0,43.0,Carry,Jordan Pickford,England,True,107.6,False,False,False
25833,3942227,1,0,45,00:00:45.623,Carry,Jordan Pickford,England,England,12.4,30.8,,2.909239,Regular Play,,,,,,,,,,,,False,12.4,30.8,0.0,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,2,2,0,4,2,0,0,Ball Receipt*,Jordan Pickford,England,0.0,45.0,Pass,Jordan Pickford,England,True,107.6,False,False,False
