event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,England_score,Slovenia_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
141237,3930181,1,0,17,00:00:17.556,Carry,Marc Guehi,England,England,37.2,41.2,,0.864483,From Kick Off,,,,,,,,,,,,False,37.8,40.4,1.0,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,0,2,1,0,0,Ball Receipt*,Marc Guehi,England,0.0,17.0,Pass,Marc Guehi,England,True,82.8,False,False,False
141238,3930181,1,0,18,00:00:18.420,Pass,Marc Guehi,England,England,37.8,40.4,,1.88853,From Kick Off,Kieran Trippier,30.48967,Ground Pass,,-1.2677158,46.9,11.3,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,1,0,2,1,0,0,Carry,Marc Guehi,England,0.0,17.0,Ball Receipt*,Kieran Trippier,England,True,82.2,False,False,False
141239,3930181,1,0,20,00:00:20.309,Ball Receipt*,Kieran Trippier,England,England,46.9,11.3,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,1,0,2,1,0,0,Pass,Marc Guehi,England,0.0,18.0,Carry,Kieran Trippier,England,True,73.1,False,False,False
141240,3930181,1,0,20,00:00:20.309,Carry,Kieran Trippier,England,England,46.9,11.3,,0.511932,From Kick Off,,,,,,,,,,,,False,51.1,9.4,4.609772228646447,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,1,0,2,1,0,0,Ball Receipt*,Kieran Trippier,England,0.0,20.0,Pass,Kieran Trippier,England,True,73.1,False,False,False
141241,3930181,1,0,20,00:00:20.821,Pass,Kieran Trippier,England,England,51.1,9.4,,1.100539,From Kick Off,Phil Foden,13.507035,Ground Pass,,-0.47689188,63.1,3.2,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,1,0,2,1,0,0,Carry,Kieran Trippier,England,0.0,20.0,Ball Receipt*,Phil Foden,England,True,68.9,False,False,False
141242,3930181,1,0,21,00:00:21.921,Ball Receipt*,Phil Foden,England,England,63.1,3.2,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,1,1,0,2,1,0,0,Pass,Kieran Trippier,England,0.0,20.0,Carry,Phil Foden,England,True,56.9,False,False,False
141243,3930181,1,0,21,00:00:21.921,Carry,Phil Foden,England,England,63.1,3.2,,1.199999,From Kick Off,,,,,,,,,,,,False,59.8,4.2,3.448187929913338,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,1,1,0,2,1,0,0,Ball Receipt*,Phil Foden,England,0.0,21.0,Pass,Phil Foden,England,True,56.9,False,False,False
141244,3930181,1,0,23,00:00:23.121,Pass,Phil Foden,England,England,59.8,4.2,,0.987936,From Kick Off,Kieran Trippier,10.373042,Ground Pass,,2.1641464,54.0,12.8,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,1,1,0,2,1,0,0,Carry,Phil Foden,England,0.0,21.0,Ball Receipt*,Kieran Trippier,England,True,60.2,False,False,False
141245,3930181,1,0,24,00:00:24.109,Ball Receipt*,Kieran Trippier,England,England,54.0,12.8,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,1,0,2,1,0,0,Pass,Phil Foden,England,0.0,23.0,Carry,Kieran Trippier,England,True,66.0,False,False,False
141246,3930181,1,0,24,00:00:24.109,Carry,Kieran Trippier,England,England,54.0,12.8,True,1.207254,From Kick Off,,,,,,,,,,,,False,51.7,13.9,2.5495097567963896,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,1,0,2,1,0,0,Ball Receipt*,Kieran Trippier,England,0.0,24.0,Pressure,Petar Stojanović,Slovenia,False,66.0,False,False,False
