event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,spain_score,england_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure,event_commentary,sequence_id,sequence_commentary,sequence_length
79681,3940878,2,76,59,00:31:59.976,Ball Receipt*,Ricardo Iván Rodríguez Araya,Switzerland,Switzerland,8.6,13.7,,,From Goal Kick,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,2,0,2,1,2,0,5,3,0,0,Pass,Manuel Obafemi Akanji,Switzerland,76.0,58.0,Pass,Ricardo Iván Rodríguez Araya,Switzerland,True,111.4,False,False,False,Ricardo Iván Rodríguez Araya receives,394,"[76:59] From the goal kick, Ricardo Iván Rodríguez Araya under pressure, plays a long pass forward along the ground to Michel Aebischer, Michel Aebischer under pressure, carries the ball from the right midfield into the right defensive third - BUT LOSES IT! . Giovanni Di Lorenzo closes down Michel Aebischer . From the goal kick, Michel Aebischer under pressure, plays a short pass along the ground to Granit Xhaka, From the goal kick, Granit Xhaka under pressure, plays a medium pass forward through the air to Kwadwo Duah",10
79682,3940878,2,77,0,00:32:00.805,Pass,Ricardo Iván Rodríguez Araya,Switzerland,Switzerland,9.4,11.9,,1.747605,From Goal Kick,Michel Aebischer,32.01125,Ground Pass,,-0.2980396,40.0,2.5,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,2,0,2,1,2,0,5,3,0,0,Ball Receipt*,Ricardo Iván Rodríguez Araya,Switzerland,76.0,59.0,Ball Receipt*,Michel Aebischer,Switzerland,True,110.6,False,False,False,"From the goal kick, Ricardo Iván Rodríguez Araya under pressure, plays a long pass forward along the ground to Michel Aebischer",394,"[76:59] From the goal kick, Ricardo Iván Rodríguez Araya under pressure, plays a long pass forward along the ground to Michel Aebischer, Michel Aebischer under pressure, carries the ball from the right midfield into the right defensive third - BUT LOSES IT! . Giovanni Di Lorenzo closes down Michel Aebischer . From the goal kick, Michel Aebischer under pressure, plays a short pass along the ground to Granit Xhaka, From the goal kick, Granit Xhaka under pressure, plays a medium pass forward through the air to Kwadwo Duah",10
79683,3940878,2,77,2,00:32:02.553,Ball Receipt*,Michel Aebischer,Switzerland,Switzerland,40.0,2.5,,,From Goal Kick,,,,,,,,,,,,False,,,,,False,,"{'id': 8, 'name': 'Left Wing Back'}",,2,0,2,1,2,0,5,3,1,0,Pass,Ricardo Iván Rodríguez Araya,Switzerland,77.0,0.0,Carry,Michel Aebischer,Switzerland,True,80.0,False,False,False,Michel Aebischer receives,394,"[76:59] From the goal kick, Ricardo Iván Rodríguez Araya under pressure, plays a long pass forward along the ground to Michel Aebischer, Michel Aebischer under pressure, carries the ball from the right midfield into the right defensive third - BUT LOSES IT! . Giovanni Di Lorenzo closes down Michel Aebischer . From the goal kick, Michel Aebischer under pressure, plays a short pass along the ground to Granit Xhaka, From the goal kick, Granit Xhaka under pressure, plays a medium pass forward through the air to Kwadwo Duah",10
79684,3940878,2,77,2,00:32:02.553,Carry,Michel Aebischer,Switzerland,Switzerland,40.0,2.5,True,1.944587,From Goal Kick,,,,,,,,,,,,False,25.4,2.7,14.601369798755185,,False,,"{'id': 8, 'name': 'Left Wing Back'}",,2,0,2,1,2,0,5,3,1,0,Ball Receipt*,Michel Aebischer,Switzerland,77.0,2.0,Pressure,Giovanni Di Lorenzo,Italy,False,80.0,False,False,False,"Michel Aebischer under pressure, carries the ball from the right midfield into the right defensive third - BUT LOSES IT!",394,"[76:59] From the goal kick, Ricardo Iván Rodríguez Araya under pressure, plays a long pass forward along the ground to Michel Aebischer, Michel Aebischer under pressure, carries the ball from the right midfield into the right defensive third - BUT LOSES IT! . Giovanni Di Lorenzo closes down Michel Aebischer . From the goal kick, Michel Aebischer under pressure, plays a short pass along the ground to Granit Xhaka, From the goal kick, Granit Xhaka under pressure, plays a medium pass forward through the air to Kwadwo Duah",10
79685,3940878,2,77,2,00:32:02.643,Pressure,Giovanni Di Lorenzo,Italy,Switzerland,78.4,77.4,,1.865946,From Goal Kick,,,,,,,,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,2,0,-2,1,1,1,3,3,0,0,Carry,Michel Aebischer,Switzerland,77.0,2.0,Pass,Michel Aebischer,Switzerland,False,41.6,False,False,False,Giovanni Di Lorenzo closes down Michel Aebischer,394,"[76:59] From the goal kick, Ricardo Iván Rodríguez Araya under pressure, plays a long pass forward along the ground to Michel Aebischer, Michel Aebischer under pressure, carries the ball from the right midfield into the right defensive third - BUT LOSES IT! . Giovanni Di Lorenzo closes down Michel Aebischer . From the goal kick, Michel Aebischer under pressure, plays a short pass along the ground to Granit Xhaka, From the goal kick, Granit Xhaka under pressure, plays a medium pass forward through the air to Kwadwo Duah",10
79686,3940878,2,77,4,00:32:04.497,Pass,Michel Aebischer,Switzerland,Switzerland,25.4,2.7,True,0.825036,From Goal Kick,Granit Xhaka,8.2,Ground Pass,,1.5707964,25.4,10.9,,,,,False,,,,,False,,"{'id': 8, 'name': 'Left Wing Back'}",,2,0,2,1,2,0,5,3,1,0,Pressure,Giovanni Di Lorenzo,Italy,77.0,2.0,Ball Receipt*,Granit Xhaka,Switzerland,True,94.6,False,False,False,"From the goal kick, Michel Aebischer under pressure, plays a short pass along the ground to Granit Xhaka",394,"[76:59] From the goal kick, Ricardo Iván Rodríguez Araya under pressure, plays a long pass forward along the ground to Michel Aebischer, Michel Aebischer under pressure, carries the ball from the right midfield into the right defensive third - BUT LOSES IT! . Giovanni Di Lorenzo closes down Michel Aebischer . From the goal kick, Michel Aebischer under pressure, plays a short pass along the ground to Granit Xhaka, From the goal kick, Granit Xhaka under pressure, plays a medium pass forward through the air to Kwadwo Duah",10
79687,3940878,2,77,5,00:32:05.322,Ball Receipt*,Granit Xhaka,Switzerland,Switzerland,25.4,10.9,,,From Goal Kick,,,,,,,,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,2,0,2,1,2,0,5,3,0,0,Pass,Michel Aebischer,Switzerland,77.0,4.0,Pass,Granit Xhaka,Switzerland,True,94.6,False,False,False,Granit Xhaka receives,394,"[76:59] From the goal kick, Ricardo Iván Rodríguez Araya under pressure, plays a long pass forward along the ground to Michel Aebischer, Michel Aebischer under pressure, carries the ball from the right midfield into the right defensive third - BUT LOSES IT! . Giovanni Di Lorenzo closes down Michel Aebischer . From the goal kick, Michel Aebischer under pressure, plays a short pass along the ground to Granit Xhaka, From the goal kick, Granit Xhaka under pressure, plays a medium pass forward through the air to Kwadwo Duah",10
79688,3940878,2,77,5,00:32:05.322,Pass,Granit Xhaka,Switzerland,Switzerland,25.4,10.9,,1.218566,From Goal Kick,Kwadwo Duah,27.511635,High Pass,,-0.029082706,52.9,10.1,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,2,0,2,1,2,0,5,3,0,0,Ball Receipt*,Granit Xhaka,Switzerland,77.0,5.0,Ball Receipt*,Kwadwo Duah,Switzerland,True,94.6,False,False,False,"From the goal kick, Granit Xhaka under pressure, plays a medium pass forward through the air to Kwadwo Duah",394,"[76:59] From the goal kick, Ricardo Iván Rodríguez Araya under pressure, plays a long pass forward along the ground to Michel Aebischer, Michel Aebischer under pressure, carries the ball from the right midfield into the right defensive third - BUT LOSES IT! . Giovanni Di Lorenzo closes down Michel Aebischer . From the goal kick, Michel Aebischer under pressure, plays a short pass along the ground to Granit Xhaka, From the goal kick, Granit Xhaka under pressure, plays a medium pass forward through the air to Kwadwo Duah",10
79689,3940878,2,77,6,00:32:06.541,Ball Receipt*,Kwadwo Duah,Switzerland,Switzerland,52.9,10.1,,,From Goal Kick,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,2,0,2,1,2,0,5,3,1,0,Pass,Granit Xhaka,Switzerland,77.0,5.0,Carry,Kwadwo Duah,Switzerland,True,67.1,False,False,False,Kwadwo Duah receives,394,"[76:59] From the goal kick, Ricardo Iván Rodríguez Araya under pressure, plays a long pass forward along the ground to Michel Aebischer, Michel Aebischer under pressure, carries the ball from the right midfield into the right defensive third - BUT LOSES IT! . Giovanni Di Lorenzo closes down Michel Aebischer . From the goal kick, Michel Aebischer under pressure, plays a short pass along the ground to Granit Xhaka, From the goal kick, Granit Xhaka under pressure, plays a medium pass forward through the air to Kwadwo Duah",10
79690,3940878,2,77,6,00:32:06.541,Carry,Kwadwo Duah,Switzerland,Switzerland,52.9,10.1,,3.387743,From Goal Kick,,,,,,,,,,,,False,52.3,41.2,31.105787242890997,,False,,"{'id': 23, 'name': 'Center Forward'}",,2,0,2,1,2,0,5,3,1,0,Ball Receipt*,Kwadwo Duah,Switzerland,77.0,6.0,Pass,Kwadwo Duah,Switzerland,True,67.1,False,False,False,Kwadwo Duah surges forward on a BRILLIANT run from the right midfield into the central midfield,394,"[76:59] From the goal kick, Ricardo Iván Rodríguez Araya under pressure, plays a long pass forward along the ground to Michel Aebischer, Michel Aebischer under pressure, carries the ball from the right midfield into the right defensive third - BUT LOSES IT! . Giovanni Di Lorenzo closes down Michel Aebischer . From the goal kick, Michel Aebischer under pressure, plays a short pass along the ground to Granit Xhaka, From the goal kick, Granit Xhaka under pressure, plays a medium pass forward through the air to Kwadwo Duah",10
79691,3940878,2,77,9,00:32:09.929,Pass,Kwadwo Duah,Switzerland,Switzerland,52.3,41.2,,1.573227,From Goal Kick,Leonidas Stergiou,23.153402,Ground Pass,,0.343605,74.1,49.0,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,2,0,2,1,2,0,5,3,1,0,Carry,Kwadwo Duah,Switzerland,77.0,6.0,Ball Receipt*,Leonidas Stergiou,Switzerland,True,67.7,False,False,False,"From the goal kick, Kwadwo Duah under pressure, plays a medium pass forward along the ground to Leonidas Stergiou",395,"[77:09] From the goal kick, Kwadwo Duah under pressure, plays a medium pass forward along the ground to Leonidas Stergiou, Leonidas Stergiou under pressure, carries the ball From the goal kick, Leonidas Stergiou under pressure, plays a medium pass back along the ground to Remo Freuler, Remo Freuler under pressure, carries the ball From the goal kick, Remo Freuler under pressure, plays a short pass along the ground to Vincent Sierro",10
79692,3940878,2,77,11,00:32:11.502,Ball Receipt*,Leonidas Stergiou,Switzerland,Switzerland,74.1,49.0,,,From Goal Kick,,,,,,,,,,,,False,,,,,False,,"{'id': 7, 'name': 'Right Wing Back'}",,2,0,2,1,2,0,5,3,0,0,Pass,Kwadwo Duah,Switzerland,77.0,9.0,Carry,Leonidas Stergiou,Switzerland,True,45.900000000000006,False,False,False,Leonidas Stergiou receives,395,"[77:09] From the goal kick, Kwadwo Duah under pressure, plays a medium pass forward along the ground to Leonidas Stergiou, Leonidas Stergiou under pressure, carries the ball From the goal kick, Leonidas Stergiou under pressure, plays a medium pass back along the ground to Remo Freuler, Remo Freuler under pressure, carries the ball From the goal kick, Remo Freuler under pressure, plays a short pass along the ground to Vincent Sierro",10
79693,3940878,2,77,11,00:32:11.502,Carry,Leonidas Stergiou,Switzerland,Switzerland,74.1,49.0,,0.484453,From Goal Kick,,,,,,,,,,,,False,74.1,49.0,0.0,,False,,"{'id': 7, 'name': 'Right Wing Back'}",,2,0,2,1,2,0,5,3,0,0,Ball Receipt*,Leonidas Stergiou,Switzerland,77.0,11.0,Pass,Leonidas Stergiou,Switzerland,True,45.900000000000006,False,False,False,"Leonidas Stergiou under pressure, carries the ball",395,"[77:09] From the goal kick, Kwadwo Duah under pressure, plays a medium pass forward along the ground to Leonidas Stergiou, Leonidas Stergiou under pressure, carries the ball From the goal kick, Leonidas Stergiou under pressure, plays a medium pass back along the ground to Remo Freuler, Remo Freuler under pressure, carries the ball From the goal kick, Remo Freuler under pressure, plays a short pass along the ground to Vincent Sierro",10
79694,3940878,2,77,11,00:32:11.986,Pass,Leonidas Stergiou,Switzerland,Switzerland,74.1,49.0,,1.246347,From Goal Kick,Remo Freuler,17.556765,Ground Pass,,2.4045439,61.1,60.8,,,,,False,,,,,False,,"{'id': 7, 'name': 'Right Wing Back'}",,2,0,2,1,2,0,5,3,0,0,Carry,Leonidas Stergiou,Switzerland,77.0,11.0,Ball Receipt*,Remo Freuler,Switzerland,True,45.900000000000006,False,False,False,"From the goal kick, Leonidas Stergiou under pressure, plays a medium pass back along the ground to Remo Freuler",395,"[77:09] From the goal kick, Kwadwo Duah under pressure, plays a medium pass forward along the ground to Leonidas Stergiou, Leonidas Stergiou under pressure, carries the ball From the goal kick, Leonidas Stergiou under pressure, plays a medium pass back along the ground to Remo Freuler, Remo Freuler under pressure, carries the ball From the goal kick, Remo Freuler under pressure, plays a short pass along the ground to Vincent Sierro",10
79695,3940878,2,77,13,00:32:13.233,Ball Receipt*,Remo Freuler,Switzerland,Switzerland,61.1,60.8,,,From Goal Kick,,,,,,,,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,2,0,2,1,2,0,5,3,0,1,Pass,Leonidas Stergiou,Switzerland,77.0,11.0,Carry,Remo Freuler,Switzerland,True,58.9,False,False,False,Remo Freuler receives,395,"[77:09] From the goal kick, Kwadwo Duah under pressure, plays a medium pass forward along the ground to Leonidas Stergiou, Leonidas Stergiou under pressure, carries the ball From the goal kick, Leonidas Stergiou under pressure, plays a medium pass back along the ground to Remo Freuler, Remo Freuler under pressure, carries the ball From the goal kick, Remo Freuler under pressure, plays a short pass along the ground to Vincent Sierro",10
79696,3940878,2,77,13,00:32:13.233,Carry,Remo Freuler,Switzerland,Switzerland,61.1,60.8,,1.594976,From Goal Kick,,,,,,,,,,,,False,62.1,62.9,2.325940669922603,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,2,0,2,1,2,0,5,3,0,1,Ball Receipt*,Remo Freuler,Switzerland,77.0,13.0,Pass,Remo Freuler,Switzerland,True,58.9,False,False,False,"Remo Freuler under pressure, carries the ball",395,"[77:09] From the goal kick, Kwadwo Duah under pressure, plays a medium pass forward along the ground to Leonidas Stergiou, Leonidas Stergiou under pressure, carries the ball From the goal kick, Leonidas Stergiou under pressure, plays a medium pass back along the ground to Remo Freuler, Remo Freuler under pressure, carries the ball From the goal kick, Remo Freuler under pressure, plays a short pass along the ground to Vincent Sierro",10
