match_id,home_team,away_team,match_date,stage,period,period_name,minute,second,team,player,card_type,event_type,event_uuid
3930180,Netherlands,Austria,2024-06-25,Group Stage,1,Period 1,32,40,"{'id': 915, 'name': 'Austria'}","{'id': 33297, 'name': 'Patrick Wimmer'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",5898067f-14ef-4a20-ae12-6de6a0f3b01a
3930180,Netherlands,Austria,2024-06-25,Group Stage,2,Period 2,93,54,"{'id': 915, 'name': 'Austria'}","{'id': 152512, 'name': 'Leopold Querfeld'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3930171,Denmark,England,2024-06-20,Group Stage,1,Period 1,26,2,"{'id': 776, 'name': 'Denmark'}","{'id': 8815, 'name': 'Jannik Vestergaard'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",e96ae03b-a16e-4017-9827-264a73cec864
3930171,Denmark,England,2024-06-20,Group Stage,2,Period 2,60,55,"{'id': 768, 'name': 'England'}","{'id': 29399, 'name': 'Conor Gallagher'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",
3930171,Denmark,England,2024-06-20,Group Stage,2,Period 2,72,33,"{'id': 776, 'name': 'Denmark'}","{'id': 16554, 'name': 'Joakim Mæhle'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",24e10270-5c62-40fb-8826-7097e85d4cab
3930171,Denmark,England,2024-06-20,Group Stage,2,Period 2,86,21,"{'id': 776, 'name': 'Denmark'}","{'id': 7097, 'name': 'Christian Nørgaard'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",5c6b4830-4e1a-4a1d-bf15-2b6682d5d407
3942227,England,Switzerland,2024-07-06,Quarter-finals,1,Period 1,31,42,"{'id': 773, 'name': 'Switzerland'}","{'id': 5537, 'name': 'Fabian Lukas Schär'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",
3942227,England,Switzerland,2024-07-06,Quarter-finals,2,Period 2,66,36,"{'id': 768, 'name': 'England'}","{'id': 10955, 'name': 'Harry Kane'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",5449c4e8-7816-4c04-8238-5ca3af41bf73
3942227,England,Switzerland,2024-07-06,Quarter-finals,2,Period 2,84,27,"{'id': 773, 'name': 'Switzerland'}","{'id': 7796, 'name': 'Silvan Widmer'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",
3942226,Spain,Germany,2024-07-05,Quarter-finals,1,Period 1,12,49,"{'id': 770, 'name': 'Germany'}","{'id': 3167, 'name': 'Antonio Rüdiger'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",0c0b517a-791c-47f2-90ee-c4132ec8b277
3942226,Spain,Germany,2024-07-05,Quarter-finals,1,Period 1,27,6,"{'id': 770, 'name': 'Germany'}","{'id': 12034, 'name': 'David Raum'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",06c81b49-e470-4460-83ab-61ab8296e225
3942226,Spain,Germany,2024-07-05,Quarter-finals,1,Period 1,28,52,"{'id': 772, 'name': 'Spain'}","{'id': 22128, 'name': 'Robin Aime Robert Le Normand'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",7b2072d8-f8c6-411e-94d6-fbae3cf4923c
3942226,Spain,Germany,2024-07-05,Quarter-finals,2,Period 2,55,39,"{'id': 770, 'name': 'Germany'}","{'id': 9195, 'name': 'Robert Andrich'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",4b2d19c3-9ac9-44c2-95fb-18282c00acf0
3942226,Spain,Germany,2024-07-05,Quarter-finals,2,Period 2,66,31,"{'id': 770, 'name': 'Germany'}","{'id': 5574, 'name': 'Toni Kroos'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",514c1764-7bbc-4f8c-a36f-fe3fc32a0ddf
3942226,Spain,Germany,2024-07-05,Quarter-finals,2,Period 2,72,42,"{'id': 770, 'name': 'Germany'}","{'id': 12407, 'name': 'Maximilian Mittelstädt'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3942226,Spain,Germany,2024-07-05,Quarter-finals,2,Period 2,73,49,"{'id': 772, 'name': 'Spain'}","{'id': 6748, 'name': 'Ferrán Torres García'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",5969262e-d2ca-45ca-8acf-64aeaa8e885c
3942226,Spain,Germany,2024-07-05,Quarter-finals,2,Period 2,81,20,"{'id': 772, 'name': 'Spain'}","{'id': 11748, 'name': 'Unai Simón Mendibil'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3942226,Spain,Germany,2024-07-05,Quarter-finals,2,Period 2,91,46,"{'id': 770, 'name': 'Germany'}","{'id': 24118, 'name': 'Nico Schlotterbeck'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3942226,Spain,Germany,2024-07-05,Quarter-finals,3,Period 3 (Extra Time 1st Half),93,10,"{'id': 770, 'name': 'Germany'}","{'id': 40724, 'name': 'Florian Wirtz'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",04503f53-981f-4543-9f45-0c76dd481e15
3942226,Spain,Germany,2024-07-05,Quarter-finals,3,Period 3 (Extra Time 1st Half),99,30,"{'id': 772, 'name': 'Spain'}","{'id': 5721, 'name': 'Daniel Carvajal Ramos'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",4529b3d2-34a7-4511-a681-1b4ae5357c78
3942226,Spain,Germany,2024-07-05,Quarter-finals,4,Period 4 (Extra Time 2nd Half),109,15,"{'id': 772, 'name': 'Spain'}","{'id': 6765, 'name': 'Rodrigo Hernández Cascante'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",3fc8a9de-e1a5-46ea-9ddd-53854c18b33d
3942226,Spain,Germany,2024-07-05,Quarter-finals,4,Period 4 (Extra Time 2nd Half),112,18,"{'id': 770, 'name': 'Germany'}","{'id': 131243, 'name': 'Deniz Undav'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3942226,Spain,Germany,2024-07-05,Quarter-finals,4,Period 4 (Extra Time 2nd Half),120,33,"{'id': 772, 'name': 'Spain'}","{'id': 6655, 'name': 'Fabián Ruiz Peña'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3942226,Spain,Germany,2024-07-05,Quarter-finals,4,Period 4 (Extra Time 2nd Half),124,55,"{'id': 772, 'name': 'Spain'}","{'id': 5721, 'name': 'Daniel Carvajal Ramos'}",Second Yellow,"{'id': 22, 'name': 'Foul Committed'}",5ba6311d-538a-4854-b114-ffab2343fa9b
3938645,Ukraine,Belgium,2024-06-26,Group Stage,1,Period 1,42,18,"{'id': 782, 'name': 'Belgium'}","{'id': 8854, 'name': 'Wout Faes'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",a44ab228-92de-4740-8d2a-201e21e6f059
3938645,Ukraine,Belgium,2024-06-26,Group Stage,2,Period 2,68,38,"{'id': 911, 'name': 'Ukraine'}","{'id': 25079, 'name': 'Artem Dovbyk'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",fb1dcafb-cab7-40b6-801d-e0d48d979cca
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,1,Period 1,10,43,"{'id': 912, 'name': 'Czech Republic'}","{'id': 7801, 'name': 'Antonín Barák'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,1,Period 1,19,17,"{'id': 912, 'name': 'Czech Republic'}","{'id': 7801, 'name': 'Antonín Barák'}",Second Yellow,"{'id': 22, 'name': 'Foul Committed'}",e978e78f-0a14-4013-a153-3d2a64ad8ca7
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,1,Period 1,30,15,"{'id': 909, 'name': 'Turkey'}","{'id': 9085, 'name': 'Salih Özcan'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",3998f5b4-0234-43e8-bea3-5c19bdae52cb
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,1,Period 1,34,0,"{'id': 912, 'name': 'Czech Republic'}","{'id': 7044, 'name': 'Patrik Schick'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,1,Period 1,36,4,"{'id': 909, 'name': 'Turkey'}","{'id': 151813, 'name': 'Kenan Yildiz'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,2,Period 2,48,53,"{'id': 909, 'name': 'Turkey'}","{'id': 78241, 'name': 'İsmail Yüksek'}",Yellow Card,"{'id': 22, 'name': 'Foul Committed'}",2bdbadc8-c082-4125-ac0d-04415ac9085a
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,2,Period 2,64,0,"{'id': 909, 'name': 'Turkey'}","{'id': 30310, 'name': 'Fehmi Mert Günok'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,2,Period 2,65,41,"{'id': 909, 'name': 'Turkey'}","{'id': 7039, 'name': 'Hakan Çalhanoğlu'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,2,Period 2,67,31,"{'id': 909, 'name': 'Turkey'}","{'id': 30357, 'name': 'Uğurcan Çakır'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,2,Period 2,80,1,"{'id': 909, 'name': 'Turkey'}","{'id': 10826, 'name': 'Mert Müldür'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
3930184,Czech Republic,Turkey,2024-06-26,Group Stage,2,Period 2,83,55,"{'id': 912, 'name': 'Czech Republic'}","{'id': 40207, 'name': 'Vitezslav Jaros'}",Yellow Card,"{'id': 24, 'name': 'Bad Behaviour'}",
