match_id,minute_range,team_home,team_away,team_home_momentum,team_away_momentum,team_home_momentum_change,team_away_momentum_change
3930158,64-66,Germany,Scotland,6.218,4.921,-0.5860000000000003,0.9639999999999996
3930158,65-67,Germany,Scotland,6.04,4.953,0.0830000000000001,0.9259999999999992
3930158,66-68,Germany,Scotland,6.028,5.242,-0.0469999999999997,0.6029999999999998
3930158,67-69,Germany,Scotland,5.632,5.885,0.4210000000000002,-0.3479999999999998
3930158,68-70,Germany,Scotland,6.123,5.879,0.0059999999999993,-0.3209999999999997
3930158,69-71,Germany,Scotland,5.981,5.845,0.173,-0.8579999999999997
3930158,70-72,Germany,Scotland,6.053,5.537,0.1690000000000004,-0.8520000000000003
3930158,71-73,Germany,Scotland,6.129,5.558,-0.1949999999999994,-0.8339999999999996
3930158,72-74,Germany,Scotland,6.154,4.987,-0.3419999999999996,0.9580000000000002
3930158,73-75,Germany,Scotland,6.222,4.685,0.3959999999999999,0.4220000000000006
3930158,74-76,Germany,Scotland,5.934,4.724,0.6440000000000001,0.4260000000000001
3930158,75-77,Germany,Scotland,5.812,5.945,0.8999999999999995,-1.1660000000000004
3930158,76-78,Germany,Scotland,6.618,5.107,-0.987,0.1600000000000001
3930158,77-79,Germany,Scotland,6.578,5.15,-0.3650000000000002,0.1879999999999997
3930158,78-80,Germany,Scotland,6.712,4.779,-0.5019999999999998,0.665
3930158,79-81,Germany,Scotland,5.631,5.267,0.7109999999999994,0.1789999999999993
3930158,80-82,Germany,Scotland,6.213,5.338,-0.2080000000000001,0.0759999999999996
3930158,81-83,Germany,Scotland,6.21,5.444,-0.3150000000000004,-0.1299999999999999
3930158,82-84,Germany,Scotland,6.342,5.446,-0.5429999999999993,-0.0699999999999994
3930158,83-85,Germany,Scotland,6.005,5.414,0.4279999999999999,-0.1179999999999994
3930158,84-86,Germany,Scotland,5.895,5.314,0.9660000000000002,-0.1050000000000004
3930158,85-87,Germany,Scotland,5.799,5.376,0.8309999999999995,0.585
3930158,86-88,Germany,Scotland,6.433,5.296,0.508,0.8460000000000001
3930158,87-89,Germany,Scotland,6.861,5.209,0.1909999999999998,0.6540000000000008
3930158,88-90,Germany,Scotland,6.63,5.961,0.75,-0.7040000000000006
3930159,0-2,Hungary,Switzerland,4.338,4.365,-0.0570000000000003,0.5990000000000002
3930159,1-3,Hungary,Switzerland,4.404,4.494,-0.2030000000000003,0.7330000000000005
3930159,2-4,Hungary,Switzerland,4.229,4.44,0.0659999999999998,0.3359999999999994
3930159,3-5,Hungary,Switzerland,4.281,4.964,-0.189,-0.2990000000000004
3930159,4-6,Hungary,Switzerland,4.201,5.227,0.5460000000000003,-0.6779999999999999
3930159,5-7,Hungary,Switzerland,4.295,4.776,0.2729999999999997,0.0910000000000001
3930159,6-8,Hungary,Switzerland,4.092,4.665,0.6000000000000005,0.4870000000000001
