game_id,team_x,team_y,x_prediction,y_prediction,x_actual,y_actual,differential_prediction,differential_actual,sign_match
3930158,Germany,Scotland,0.3207304797927639,-0.6952256495978064,0.8999999999999995,-1.1660000000000004,1.0159561293905703,2.066,1
3930158,Germany,Scotland,-0.4867477675308906,0.1606147342005517,-0.987,0.1600000000000001,-0.6473625017314423,-1.147,1
3930158,Germany,Scotland,-0.4469701231669658,0.1197339325463353,-0.3650000000000002,0.1879999999999997,-0.5667040557133012,-0.5529999999999999,1
3930158,Germany,Scotland,-0.5856385982496164,0.4922054774508906,-0.5019999999999998,0.665,-1.077844075700507,-1.1669999999999998,1
3930158,Germany,Scotland,0.5338199058190014,0.0027555010590596,0.7109999999999994,0.1789999999999993,0.5310644047599418,0.5320000000000001,1
3930158,Germany,Scotland,-0.0688886612800008,-0.0684553619636174,-0.2080000000000001,0.0759999999999996,-0.0004332993163834037,-0.2839999999999997,1
3930158,Germany,Scotland,-0.0657819362568554,-0.1747798852931588,-0.3150000000000004,-0.1299999999999999,0.1089979490363034,-0.1850000000000005,0
3930158,Germany,Scotland,-0.2024788059866828,-0.176785871465527,-0.5429999999999993,-0.0699999999999994,-0.025692934521155814,-0.47299999999999986,1
3930158,Germany,Scotland,0.1465124480874831,-0.1446875576095294,0.4279999999999999,-0.1179999999999994,0.2912000056970125,0.5459999999999993,1
3930158,Germany,Scotland,0.2604265073120526,-0.0443803957444783,0.9660000000000002,-0.1050000000000004,0.3048069030565309,1.0710000000000006,1
3930158,Germany,Scotland,0.3598424135398463,-0.1065708334806112,0.8309999999999995,0.585,0.4664132470204575,0.24599999999999955,1
3930158,Germany,Scotland,-0.2967168005081504,-0.026325106645598,0.508,0.8460000000000001,-0.2703916938625524,-0.3380000000000001,1
3930158,Germany,Scotland,-0.7399460491083882,0.0609421212176872,0.1909999999999998,0.6540000000000008,-0.8008881703260754,-0.46300000000000097,1
3930158,Germany,Scotland,-0.5007265247470452,-0.693367710331926,0.75,-0.7040000000000006,0.19264118558488086,1.4540000000000006,1
3930159,Hungary,Switzerland,-0.5105594796642263,-0.3768767757106568,-0.5339999999999998,-0.2649999999999997,-0.13368270395356951,-0.26900000000000013,1
3930159,Hungary,Switzerland,-0.597991199699976,0.2410838407693187,-0.3730000000000002,0.6779999999999999,-0.8390750404692948,-1.0510000000000002,1
3930159,Hungary,Switzerland,-0.0314204523458121,0.0759842714512624,0.1670000000000007,0.7689999999999992,-0.1074047237970745,-0.6019999999999985,1
3930159,Hungary,Switzerland,0.1397169084335443,-0.0821308386960799,0.4950000000000001,0.6719999999999997,0.2218477471296242,-0.1769999999999996,0
3930159,Hungary,Switzerland,-0.1459384324323664,-0.5488030314854502,0.2099999999999999,0.2650000000000005,0.4028645990530838,-0.055000000000000604,0
3930159,Hungary,Switzerland,-0.2686535881239003,-0.8164196714599088,-0.024,-0.4199999999999999,0.5477660833360085,0.39599999999999985,1
3930159,Hungary,Switzerland,-0.515146196900111,-0.8609201721681332,-0.1180000000000003,-0.3469999999999995,0.3457739752680222,0.22899999999999918,1
3930159,Hungary,Switzerland,-0.4292197162407971,-0.8567195127194607,-0.0549999999999997,-0.173,0.4274997964786636,0.11800000000000029,1
3930159,Hungary,Switzerland,-0.2471140138644498,-0.3329442008652874,0.1819999999999995,0.7830000000000004,0.08583018700083761,-0.6010000000000009,0
3930159,Hungary,Switzerland,-0.3700782268265348,-0.4612481113425719,-0.1189999999999997,0.867,0.09116988451603708,-0.9859999999999997,0
3930159,Hungary,Switzerland,-0.3636556220998805,-0.6575934706263702,-0.2780000000000004,0.7729999999999997,0.2939378485264897,-1.0510000000000002,0
3930159,Hungary,Switzerland,-0.4858708146412027,-1.2371226715539017,-0.415,0.2989999999999995,0.7512518569126989,-0.7139999999999995,0
3930159,Hungary,Switzerland,-0.2196730913410345,-1.4622586964327784,-0.3739999999999996,0.1669999999999998,1.2425856050917439,-0.5409999999999994,0
3930159,Hungary,Switzerland,-0.007454918762094,-1.5500170867113097,-0.2930000000000001,0.0769999999999999,1.5425621679492156,-0.37,0
3930159,Hungary,Switzerland,0.0475706873114036,-1.582358353436537,0.2990000000000004,-0.1309999999999993,1.6299290407479408,0.4299999999999997,1
3930160,Spain,Croatia,-0.1122093940949175,0.8325978793898363,4.422,0.819,-0.9448072734847538,3.6029999999999998,0
3930160,Spain,Croatia,-0.0173330460886766,0.6806238021786903,0.2530000000000001,-0.4370000000000003,-0.6979568482673669,0.6900000000000004,0
3930160,Spain,Croatia,0.2620130295004337,-0.3581331071745754,-0.157,-1.3579999999999997,0.6201461366750092,1.2009999999999996,1
3930160,Spain,Croatia,-6.011534083288683,-0.0839426283574908,-4.491,-1.1030000000000006,-5.927591454931192,-3.387999999999999,1
3930160,Spain,Croatia,-0.3294877448012236,1.145574972170002,-0.3150000000000004,-0.008,-1.4750627169712256,-0.3070000000000004,1
3930160,Spain,Croatia,0.4867726649438264,1.3169599309434572,0.9770000000000004,0.1699999999999999,-0.8301872659996308,0.8070000000000005,0
3930160,Spain,Croatia,0.0518080881639262,1.1851469123505698,-0.2709999999999999,0.0310000000000005,-1.1333388241866436,-0.3020000000000004,1
3930160,Spain,Croatia,0.0979820248808973,1.2000217349553894,0.242,0.1959999999999997,-1.102039710074492,0.04600000000000029,0
3930160,Spain,Croatia,-0.8298638884160976,1.072440290039537,-0.3170000000000001,0.1169999999999999,-1.9023041784556345,-0.434,1
3930160,Spain,Croatia,0.4178546782051091,1.1863373674209408,0.8469999999999995,0.2729999999999997,-0.7684826892158316,0.5739999999999998,0
