game_id,team,prediction,actual,predicted_direction,actual_direction,direction_match
3930158,Germany,0.3207304797927639,0.8999999999999995,positive,positive,1
3930158,Germany,-0.4867477675308906,-0.987,negative,negative,1
3930158,Germany,-0.4469701231669658,-0.3650000000000002,negative,negative,1
3930158,Germany,-0.5856385982496164,-0.5019999999999998,negative,negative,1
3930158,Germany,0.5338199058190014,0.7109999999999994,positive,positive,1
3930158,Germany,-0.0688886612800008,-0.2080000000000001,negative,negative,1
3930158,Germany,-0.0657819362568554,-0.3150000000000004,negative,negative,1
3930158,Germany,-0.2024788059866828,-0.5429999999999993,negative,negative,1
3930158,Germany,0.1465124480874831,0.4279999999999999,positive,positive,1
3930158,Germany,0.2604265073120526,0.9660000000000002,positive,positive,1
3930158,Germany,0.3598424135398463,0.8309999999999995,positive,positive,1
3930158,Germany,-0.2967168005081504,0.508,negative,positive,0
3930158,Germany,-0.7399460491083882,0.1909999999999998,negative,positive,0
3930158,Germany,-0.5007265247470452,0.75,negative,positive,0
3930158,Scotland,-0.6952256495978064,-1.1660000000000004,negative,negative,1
3930158,Scotland,0.1606147342005517,0.1600000000000001,positive,positive,1
3930158,Scotland,0.1197339325463353,0.1879999999999997,positive,positive,1
3930158,Scotland,0.4922054774508906,0.665,positive,positive,1
3930158,Scotland,0.0027555010590596,0.1789999999999993,positive,positive,1
3930158,Scotland,-0.0684553619636174,0.0759999999999996,negative,positive,0
3930158,Scotland,-0.1747798852931588,-0.1299999999999999,negative,negative,1
3930158,Scotland,-0.176785871465527,-0.0699999999999994,negative,negative,1
3930158,Scotland,-0.1446875576095294,-0.1179999999999994,negative,negative,1
3930158,Scotland,-0.0443803957444783,-0.1050000000000004,negative,negative,1
3930158,Scotland,-0.1065708334806112,0.585,negative,positive,0
3930158,Scotland,-0.026325106645598,0.8460000000000001,negative,positive,0
3930158,Scotland,0.0609421212176872,0.6540000000000008,positive,positive,1
3930158,Scotland,-0.693367710331926,-0.7040000000000006,negative,negative,1
3930159,Hungary,-0.5105594796642263,-0.5339999999999998,negative,negative,1
3930159,Hungary,-0.597991199699976,-0.3730000000000002,negative,negative,1
3930159,Hungary,-0.0314204523458121,0.1670000000000007,negative,positive,0
3930159,Hungary,0.1397169084335443,0.4950000000000001,positive,positive,1
3930159,Hungary,-0.1459384324323664,0.2099999999999999,negative,positive,0
3930159,Hungary,-0.2686535881239003,-0.024,negative,negative,1
3930159,Hungary,-0.515146196900111,-0.1180000000000003,negative,negative,1
3930159,Hungary,-0.4292197162407971,-0.0549999999999997,negative,negative,1
3930159,Hungary,-0.2471140138644498,0.1819999999999995,negative,positive,0
3930159,Hungary,-0.3700782268265348,-0.1189999999999997,negative,negative,1
3930159,Hungary,-0.3636556220998805,-0.2780000000000004,negative,negative,1
3930159,Hungary,-0.4858708146412027,-0.415,negative,negative,1
3930159,Hungary,-0.2196730913410345,-0.3739999999999996,negative,negative,1
3930159,Hungary,-0.007454918762094,-0.2930000000000001,negative,negative,1
3930159,Hungary,0.0475706873114036,0.2990000000000004,positive,positive,1
3930159,Switzerland,-0.3768767757106568,-0.2649999999999997,negative,negative,1
3930159,Switzerland,0.2410838407693187,0.6779999999999999,positive,positive,1
3930159,Switzerland,0.0759842714512624,0.7689999999999992,positive,positive,1
3930159,Switzerland,-0.0821308386960799,0.6719999999999997,negative,positive,0
3930159,Switzerland,-0.5488030314854502,0.2650000000000005,negative,positive,0
3930159,Switzerland,-0.8164196714599088,-0.4199999999999999,negative,negative,1
3930159,Switzerland,-0.8609201721681332,-0.3469999999999995,negative,negative,1
3930159,Switzerland,-0.8567195127194607,-0.173,negative,negative,1
3930159,Switzerland,-0.3329442008652874,0.7830000000000004,negative,positive,0
3930159,Switzerland,-0.4612481113425719,0.867,negative,positive,0
3930159,Switzerland,-0.6575934706263702,0.7729999999999997,negative,positive,0
3930159,Switzerland,-1.2371226715539017,0.2989999999999995,negative,positive,0
3930159,Switzerland,-1.4622586964327784,0.1669999999999998,negative,positive,0
3930159,Switzerland,-1.5500170867113097,0.0769999999999999,negative,positive,0
3930159,Switzerland,-1.582358353436537,-0.1309999999999993,negative,negative,1
3930160,Spain,-0.1122093940949175,4.422,negative,positive,0
3930160,Spain,-0.0173330460886766,0.2530000000000001,negative,positive,0
3930160,Spain,0.2620130295004337,-0.157,positive,negative,0
3930160,Spain,-6.011534083288683,-4.491,negative,negative,1
3930160,Spain,-0.3294877448012236,-0.3150000000000004,negative,negative,1
3930160,Spain,0.4867726649438264,0.9770000000000004,positive,positive,1
3930160,Spain,0.0518080881639262,-0.2709999999999999,positive,negative,0
3930160,Spain,0.0979820248808973,0.242,positive,positive,1
3930160,Spain,-0.8298638884160976,-0.3170000000000001,negative,negative,1
3930160,Spain,0.4178546782051091,0.8469999999999995,positive,positive,1
3930160,Spain,-0.2282007647221409,0.3630000000000004,negative,positive,0
3930160,Spain,-0.4021856806282944,0.1219999999999998,negative,positive,0
3930160,Spain,-0.7245474049147145,-0.2030000000000003,negative,negative,1
3930160,Spain,-0.7178008251786459,0.1429999999999998,negative,positive,0
3930160,Spain,-0.5667321863628771,0.2300000000000004,negative,positive,0
3930160,Croatia,0.8325978793898363,0.819,positive,positive,1
3930160,Croatia,0.6806238021786903,-0.4370000000000003,positive,negative,0
3930160,Croatia,-0.3581331071745754,-1.3579999999999997,negative,negative,1
3930160,Croatia,-0.0839426283574908,-1.1030000000000006,negative,negative,1
3930160,Croatia,1.145574972170002,-0.008,positive,negative,0
3930160,Croatia,1.3169599309434572,0.1699999999999999,positive,positive,1
3930160,Croatia,1.1851469123505698,0.0310000000000005,positive,positive,1
3930160,Croatia,1.2000217349553894,0.1959999999999997,positive,positive,1
3930160,Croatia,1.072440290039537,0.1169999999999999,positive,positive,1
3930160,Croatia,1.1863373674209408,0.2729999999999997,positive,positive,1
3930160,Croatia,0.930589597033415,0.4250000000000007,positive,positive,1
3930160,Croatia,0.9652135856840244,0.5739999999999998,positive,positive,1
3930160,Croatia,0.8301511033261786,0.5140000000000002,positive,positive,1
3930160,Croatia,0.4505686576709449,-0.125,positive,negative,0
3930160,Croatia,0.2538870610289532,-0.5369999999999999,positive,negative,0
3930161,Italy,0.5999500897474119,0.8980000000000006,positive,positive,1
3930161,Italy,-0.3159107830722893,0.0329999999999994,negative,positive,0
3930161,Italy,-0.3280414759609824,0.0230000000000005,negative,positive,0
3930161,Italy,-0.6224971676302138,-0.0680000000000005,negative,negative,1
3930161,Italy,-0.418885325212595,0.0890000000000004,negative,positive,0
3930161,Italy,-0.4061645442830262,0.1280000000000001,negative,positive,0
3930161,Italy,-0.5747515419215041,-0.8879999999999999,negative,negative,1
3930161,Italy,-0.5638298471046461,-0.7709999999999999,negative,negative,1
3930161,Italy,-0.5946833453204681,-0.75,negative,negative,1
3930161,Italy,0.5388977831927377,0.359,positive,positive,1
3930161,Italy,0.4044331302916477,0.1120000000000001,positive,positive,1
3930161,Italy,0.3499685831640615,-0.0979999999999998,positive,negative,0
3930161,Italy,0.070192369779833,0.0110000000000001,positive,positive,1
3930161,Italy,0.2531420987060739,0.3369999999999997,positive,positive,1
3930161,Italy,0.4684436836717829,0.4599999999999999,positive,positive,1
3930161,Albania,-0.0348475654915549,-0.008,negative,negative,1
3930161,Albania,-0.2154351893314618,-0.399,negative,negative,1
3930161,Albania,-0.1299274206691087,-0.3879999999999999,negative,negative,1
3930161,Albania,-0.0239691792159639,-0.4529999999999994,negative,negative,1
3930161,Albania,0.3341571766815248,0.2560000000000002,positive,positive,1
3930161,Albania,0.4043527587724798,0.4790000000000001,positive,positive,1
3930161,Albania,0.5999409710422405,0.5269999999999992,positive,positive,1
3930161,Albania,-0.0184337284853128,0.0179999999999997,negative,positive,0
3930161,Albania,-0.2552956290467083,-0.0739999999999998,negative,negative,1
3930161,Albania,-0.1258498328777904,0.1610000000000004,negative,positive,0
3930161,Albania,-0.0432123447352417,0.2869999999999999,negative,positive,0
3930161,Albania,-0.1533914918042356,0.1289999999999995,negative,positive,0
3930161,Albania,-0.347571155412723,-0.6970000000000001,negative,negative,1
