Feature,Missing_Count,Missing_Pct,Non_Null_Count,Field_Path,Classification,Data_Types,Unique_Count,Sample_Values,Nested_Fields
dribble,186578,99.3186342876002,1280,overrun,Boolean/Flag - 1 values: ['True'],['bool'],1,['True'],
goalkeeper,186240,99.13871115416964,1618,type,Coordinate Value - single position value,['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
goalkeeper,186240,99.13871115416964,1618,type.id,Coordinate Value - single position value,['int'],7,"['33', '28', '25', '26', '27', '32', '30']",
goalkeeper,186240,99.13871115416964,1618,type.name,Coordinate Value - single position value,['str'],7,"['Keeper Sweeper', 'Collected', 'Shot Saved', 'Shot Faced', 'Penalty Conceded', 'Punch', 'Goal Conceded']",
goalkeeper,186240,99.13871115416964,1618,outcome,Small Categorical - 0 categories: [],['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
goalkeeper,186240,99.13871115416964,1618,outcome.id,ID Field - categorical identifier (10 unique IDs),['int'],10,"['117', '53', '55', '52', '56', '59', '49', '58', '47', '15']",
goalkeeper,186240,99.13871115416964,1618,outcome.name,"Name Field - categorical labels (10 categories: ['In Play Danger', 'Collected Twice', 'In Play Safe', 'Claim', 'Touched In'])",['str'],10,"['In Play Danger', 'Collected Twice', 'In Play Safe', 'Claim', 'Touched In', 'Saved Twice', 'No Touch', 'Touched Out', 'Success', 'Punched out']",
goalkeeper,186240,99.13871115416964,1618,technique,Technique/Method - categorical (0 categories: []),['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
goalkeeper,186240,99.13871115416964,1618,technique.id,ID Field - categorical identifier (2 unique IDs),['int'],2,"['46', '45']",
goalkeeper,186240,99.13871115416964,1618,technique.name,"Name Field - categorical labels (2 categories: ['Standing', 'Diving'])",['str'],2,"['Standing', 'Diving']",
goalkeeper,186240,99.13871115416964,1618,position,Coordinate Value - single position value,['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
goalkeeper,186240,99.13871115416964,1618,position.id,Coordinate Value - single position value,['int'],3,"['42', '43', '44']",
goalkeeper,186240,99.13871115416964,1618,position.name,Coordinate Value - single position value,['str'],3,"['Prone', 'Moving', 'Set']",
goalkeeper,186240,99.13871115416964,1618,body_part,Coordinate Value - single position value,['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
goalkeeper,186240,99.13871115416964,1618,body_part.id,Coordinate Value - single position value,['int'],3,"['35', '38', '41']",
goalkeeper,186240,99.13871115416964,1618,body_part.name,Coordinate Value - single position value,['str'],3,"['Both Hands', 'Right Hand', 'Left Foot']",
goalkeeper,186240,99.13871115416964,1618,end_location,"Coordinate Array - [x, y] position data",['list'],1,['coordinate_array_length_2'],
goalkeeper,186240,99.13871115416964,1618,punched_out,Boolean/Flag - 1 values: ['True'],['bool'],1,['True'],
clearance,186006,99.01414898487155,1852,head,Boolean/Flag - 1 values: ['True'],['bool'],1,['True'],
clearance,186006,99.01414898487155,1852,body_part,Coordinate Value - single position value,['dict'],0,[],"{'id': {'int'}, 'name': {'str'}}"
clearance,186006,99.01414898487155,1852,body_part.id,Coordinate Value - single position value,['int'],3,"['40', '38', '37']",
clearance,186006,99.01414898487155,1852,body_part.name,Coordinate Value - single position value,['str'],3,"['Right Foot', 'Head', 'Left Foot']",
clearance,186006,99.01414898487155,1852,right_foot,Technique/Method - categorical (1 categories: ['True']),['bool'],1,['True'],
clearance,186006,99.01414898487155,1852,aerial_won,Boolean/Flag - 1 values: ['True'],['bool'],1,['True'],
clearance,186006,99.01414898487155,1852,left_foot,Technique/Method - categorical (1 categories: ['True']),['bool'],1,['True'],
