Stage,Games,Total_Actual_Minutes,Games_to_Extra_Time,Games_to_Penalties,Goals_Per_Game,Goals_Per_90min,Subs_Per_Game,Subs_Per_90min,Yellow_Cards_Per_Game,Yellow_Cards_Per_90min,Corners_Per_Game,Corners_Per_90min
Group Stage,36,3240,0,0,2.25,2.25,9.13888888888889,9.13888888888889,1.0277777777777777,1.0277777777777777,7.361111111111111,7.361111111111111
Round of 16,8,780,2,0,2.375,2.1923076923076925,8.875,8.192307692307693,1.25,1.153846153846154,8.25,7.615384615384616
Quarter-finals,4,450,3,0,2.0,1.6,10.5,8.4,1.5,1.2,8.25,6.6
Semi-finals,2,180,0,0,3.0,3.0,9.0,9.0,1.5,1.5,5.0,5.0
Final,1,90,0,0,3.0,3.0,7.0,7.0,0.0,0.0,10.0,10.0
