match_id,team,opponent,stage,fh_events,fh_goals,sh_events,sh_goals,total_events,total_goals,fh_events_per_goal,sh_events_per_goal,total_events_per_goal,match_date
3938640,Ukraine,Slovakia,Group Stage,810,0,782,2,1592,2,inf,391.0,796.0,2024-06-21
3938642,Georgia,Czech Republic,Group Stage,773,1,609,0,1382,1,773.0,inf,1382.0,2024-06-22
3938642,Czech Republic,Georgia,Group Stage,838,0,1112,1,1950,1,inf,1112.0,1950.0,2024-06-22
3938639,Turkey,Georgia,Group Stage,1151,1,929,2,2080,3,1151.0,464.5,693.3333333333334,2024-06-18
3938639,Georgia,Turkey,Group Stage,813,1,944,0,1757,1,813.0,inf,1757.0,2024-06-18
3938641,Poland,Austria,Group Stage,744,1,821,0,1565,1,744.0,inf,1565.0,2024-06-21
3938641,Austria,Poland,Group Stage,1061,1,774,2,1835,3,1061.0,387.0,611.6666666666666,2024-06-21
3938644,Georgia,Portugal,Group Stage,683,1,510,1,1193,2,683.0,510.0,596.5,2024-06-26
3938644,Portugal,Georgia,Group Stage,1355,0,1111,0,2466,0,inf,inf,inf,2024-06-26
3938643,France,Poland,Group Stage,1106,0,955,1,2061,1,inf,955.0,2061.0,2024-06-25
3938643,Poland,France,Group Stage,822,0,884,1,1706,1,inf,884.0,1706.0,2024-06-25
3938638,Romania,Ukraine,Group Stage,606,1,492,2,1098,3,606.0,246.0,366.0,2024-06-17
3938638,Ukraine,Romania,Group Stage,1133,0,938,0,2071,0,inf,inf,inf,2024-06-17
3930183,Slovakia,Romania,Group Stage,810,1,769,0,1579,1,810.0,inf,1579.0,2024-06-26
3930183,Romania,Slovakia,Group Stage,742,1,565,0,1307,1,742.0,inf,1307.0,2024-06-26
3930181,England,Slovenia,Group Stage,1255,0,1267,0,2522,0,inf,inf,inf,2024-06-25
3930181,Slovenia,England,Group Stage,666,0,500,0,1166,0,inf,inf,inf,2024-06-25
3930178,Croatia,Italy,Group Stage,1237,0,706,1,1943,1,inf,706.0,1943.0,2024-06-24
3930178,Italy,Croatia,Group Stage,959,0,1104,1,2063,1,inf,1104.0,2063.0,2024-06-24
3930176,Switzerland,Germany,Group Stage,675,1,720,0,1395,1,675.0,inf,1395.0,2024-06-23
3930176,Germany,Switzerland,Group Stage,1306,0,1023,1,2329,1,inf,1023.0,2329.0,2024-06-23
3930175,Belgium,Romania,Group Stage,1071,1,655,1,1726,2,1071.0,655.0,863.0,2024-06-22
3930175,Romania,Belgium,Group Stage,630,0,844,0,1474,0,inf,inf,inf,2024-06-22
3930174,Turkey,Portugal,Group Stage,729,0,958,0,1687,0,inf,inf,inf,2024-06-22
3930174,Portugal,Turkey,Group Stage,1013,1,1086,1,2099,3,1013.0,1086.0,699.6666666666666,2024-06-22
3930170,Slovenia,Serbia,Group Stage,922,0,605,1,1527,1,inf,605.0,1527.0,2024-06-20
3930170,Serbia,Slovenia,Group Stage,1020,0,1005,1,2025,1,inf,1005.0,2025.0,2024-06-20
3930169,Scotland,Switzerland,Group Stage,816,1,674,0,1490,1,816.0,inf,1490.0,2024-06-19
3930169,Switzerland,Scotland,Group Stage,839,1,796,0,1635,1,839.0,inf,1635.0,2024-06-19
3930166,Portugal,Czech Republic,Group Stage,1388,0,1101,1,2489,2,inf,1101.0,1244.5,2024-06-18
3930166,Czech Republic,Portugal,Group Stage,592,0,521,1,1113,1,inf,521.0,1113.0,2024-06-18
3930163,Serbia,England,Group Stage,923,0,924,0,1847,0,inf,inf,inf,2024-06-16
3930163,England,Serbia,Group Stage,1116,1,957,0,2073,1,1116.0,inf,2073.0,2024-06-16
3930162,Slovenia,Denmark,Group Stage,681,0,619,1,1300,1,inf,619.0,1300.0,2024-06-16
3930162,Denmark,Slovenia,Group Stage,1251,1,958,0,2209,1,1251.0,inf,2209.0,2024-06-16
3930160,Spain,Croatia,Group Stage,828,3,958,0,1786,3,276.0,inf,595.3333333333334,2024-06-15
3930160,Croatia,Spain,Group Stage,995,0,1015,0,2010,0,inf,inf,inf,2024-06-15
3930159,Hungary,Switzerland,Group Stage,675,0,943,1,1618,1,inf,943.0,1618.0,2024-06-15
3930159,Switzerland,Hungary,Group Stage,981,2,757,1,1738,3,490.5,757.0,579.3333333333334,2024-06-15
3930158,Germany,Scotland,Group Stage,1129,3,1202,2,2331,5,376.3333333333333,601.0,466.2,2024-06-14
3930158,Scotland,Germany,Group Stage,597,0,445,0,1042,1,inf,inf,1042.0,2024-06-14
