match_id,home_team,away_team,stage,fh_home_events,fh_away_events,fh_events_ratio,halftime_result,sh_home_events,sh_away_events,sh_events_ratio,fulltime_result,match_date,home_win,away_win,draw
3930183,Slovakia,Romania,Group Stage,810,742,1.091644204851752,1-1 (D),769,565,1.3610619469026548,1-1 (D),2024-06-26,False,False,True
3930181,England,Slovenia,Group Stage,1255,666,1.8843843843843844,0-0 (D),1267,500,2.534,0-0 (D),2024-06-25,False,False,True
3930178,Croatia,Italy,Group Stage,1237,959,1.2898852971845673,0-0 (D),706,1104,0.6394927536231884,1-1 (D),2024-06-24,False,False,True
3930176,Switzerland,Germany,Group Stage,675,1306,0.5168453292496171,1-0 (H),720,1023,0.7038123167155426,1-1 (D),2024-06-23,False,False,True
3930175,Belgium,Romania,Group Stage,1071,630,1.7,1-0 (H),655,844,0.7760663507109005,2-0 (H),2024-06-22,True,False,False
3930174,Turkey,Portugal,Group Stage,729,1013,0.71964461994077,0-1 (A),958,1086,0.8821362799263351,0-3 (A),2024-06-22,False,True,False
3930170,Slovenia,Serbia,Group Stage,922,1020,0.903921568627451,0-0 (D),605,1005,0.6019900497512438,1-1 (D),2024-06-20,False,False,True
3930169,Scotland,Switzerland,Group Stage,816,839,0.9725864123957092,1-1 (D),674,796,0.8467336683417085,1-1 (D),2024-06-19,False,False,True
3930166,Portugal,Czech Republic,Group Stage,1388,592,2.3445945945945947,0-0 (D),1101,521,2.113243761996161,2-1 (H),2024-06-18,True,False,False
3930163,Serbia,England,Group Stage,923,1116,0.8270609318996416,0-1 (A),924,957,0.9655172413793104,0-1 (A),2024-06-16,False,True,False
3930162,Slovenia,Denmark,Group Stage,681,1251,0.5443645083932853,0-1 (A),619,958,0.6461377870563675,1-1 (D),2024-06-16,False,False,True
3930160,Spain,Croatia,Group Stage,828,995,0.8321608040201005,3-0 (H),958,1015,0.9438423645320198,3-0 (H),2024-06-15,True,False,False
3930159,Hungary,Switzerland,Group Stage,675,981,0.6880733944954128,0-2 (A),943,757,1.2457067371202113,1-3 (A),2024-06-15,False,True,False
3930158,Germany,Scotland,Group Stage,1129,597,1.8911222780569514,3-0 (H),1202,445,2.701123595505618,5-1 (H),2024-06-14,True,False,False
