match_id,home_team,away_team,minute,minute_range,issue,in_overlap,orig_home,new_home,home_diff,orig_away,new_away,away_diff
3942349,Portugal,France,108,108-110,MISSING,False,,,,,,
3942349,Portugal,France,109,109-111,MISSING,False,,,,,,
3942349,Portugal,France,110,110-112,MISSING,False,,,,,,
3942349,Portugal,France,111,111-113,MISSING,False,,,,,,
3942349,Portugal,France,112,112-114,MISSING,False,,,,,,
3942349,Portugal,France,113,113-115,MISSING,False,,,,,,
3942349,Portugal,France,114,114-116,MISSING,False,,,,,,
3942349,Portugal,France,115,115-117,MISSING,False,,,,,,
3942349,Portugal,France,116,116-118,MISSING,False,,,,,,
3942349,Portugal,France,117,117-119,MISSING,False,,,,,,
3942349,Portugal,France,118,118-120,MISSING,False,,,,,,
3942349,Portugal,France,119,119-121,MISSING,False,,,,,,
3942349,Portugal,France,120,120-122,MISSING,False,,,,,,
3942349,Portugal,France,121,121-123,MISSING,False,,,,,,
3942349,Portugal,France,122,122-124,MISSING,False,,,,,,
3942819,Netherlands,England,14,14-16,MISSING,False,,,,,,
